Open,High,Low,Close,Date,SRETURN
17473.45,17582.84,17378.38,17558.73,04-Jan-2010,0.007262
17555.77,17729.78,17555.77,17686.24,05-Jan-2010,0.007261915
17719.47,17790.33,17636.71,17701.13,06-Jan-2010,0.000841897
17701.97,17733.34,17566.54,17615.72,07-Jan-2010,-0.004825116
17603.87,17658.12,17508.96,17540.29,08-Jan-2010,-0.004281971
17724.59,17776.57,17500.79,17526.71,11-Jan-2010,-0.000774218
17534.1,17612,17392.55,17422.51,12-Jan-2010,-0.005945212
17368.03,17528.31,17276.46,17509.8,13-Jan-2010,0.005010185
17525.71,17628.04,17525.71,17584.87,14-Jan-2010,0.004287313
17604.31,17639.85,17529.11,17554.3,15-Jan-2010,-0.001738426
17538.72,17712.6,17505.5,17641.08,18-Jan-2010,0.004943518
17650.82,17664.86,17463.78,17486.06,19-Jan-2010,-0.008787444
17486.69,17590.59,17425.05,17474.49,20-Jan-2010,-0.00066167
17474.49,17474.49,17025.26,17051.14,21-Jan-2010,-0.024226744
16978.36,17000.33,16608.09,16859.68,22-Jan-2010,-0.011228575
16847.7,16877.77,16705.56,16780.46,25-Jan-2010,-0.004698784
16708.6,16708.6,16230.85,16289.82,27-Jan-2010,-0.029238769
16317.16,16524.69,16182.14,16306.87,28-Jan-2010,0.001046666
16253.82,16390.31,15982.08,16357.96,29-Jan-2010,0.003133035
16339.32,16422.4,16160.8,16356.03,01-Feb-2010,-0.000117985
16368.44,16525.98,16129.11,16163.44,02-Feb-2010,-0.011774862
16210.25,16552.99,16210.25,16496.05,03-Feb-2010,0.020577922
16500.29,16508.22,16188.8,16224.95,04-Feb-2010,-0.016434237
16222.56,16222.56,15725.43,15790.93,05-Feb-2010,-0.026750159
15807.75,15951.07,15807.75,15915.65,06-Feb-2010,0.007898205
15931.34,16061.41,15651.99,15935.61,08-Feb-2010,0.001254112
15940.73,16094.13,15862.9,16042.18,09-Feb-2010,0.006687538
16042.18,16141.13,15892.01,15922.17,10-Feb-2010,-0.007480903
